mean_x,mean_y,mean_z,std_x,std_y,std_z,min_x,min_y,min_z,max_x,max_y,max_z,mad_x,mad_y,mad_z,energy_x,energy_y,energy_z,freq_max_x,freq_max_y,freq_max_z,spectral_entropy_x,spectral_entropy_y,spectral_entropy_z,gesture
-5696,2264.7320371293376,-7040,-1280,1843.2,37573427.2,-13785.6,1208.6345353331585,-17088,-13120,906.2400000000001,191503564.8,7110.4,844.9212034266865,5632,7680,759.0400000000002,51271680,0,1.5170436601336579,0,0.6720017249594501,0,0.7460626371003748,left
-5939.2,2512.9761160822836,-9472,-1280,1989.1200000000001,41589145.6,-13785.6,1208.6345353331585,-17088,-13120,906.2400000000001,191503564.8,7897.6,2662.153834773641,5632,15488,1518.0800000000004,69459148.8,0,1.4942245220260804,0,0.6720017249594499,0,1.499817116304486,left
-6182.4,2717.1297797492116,-9472,-1280,2135.04,45604864,-13785.6,1208.6345353331585,-17088,-13120,906.2400000000001,191503564.8,8684.8,3495.835602541973,5632,15488,2721.2799999999997,87646617.6,0,1.5280357208174016,0,0.6720017249594495,0,1.583722207888101,left
-5843.2,2807.1205460400165,-9472,-1280,2383.3599999999997,42022912,-14092.8,1407.0687829669166,-17088,-13120,1167.36,200586854.4,8128,4025.086135724303,2048,15488,2944,82265702.4,0,1.681109166672724,0,0.7792101022558362,0,1.7714889508015694,left
-5504,2854.285199485153,-9472,-1280,2496,38440960,-14412.8,1509.5862214527529,-17088,-13120,1297.9199999999996,210007654.4,7564.8,4422.747309082896,2048,15488,3238.4,76786892.8,0,1.5597179003495742,0,0.7406264329911021,0,1.7799839361920304,left
-5971.2,3389.227546211673,-11648,-1280,2963.2,47142092.8,-14368,1553.3025461898915,-17088,-12672,1337.6,208852172.8,6905.6,4829.049165208406,1088,15488,3742.72,71007027.2,0,1.7587844557437236,0,0.7479826937957005,0,1.8702274910979744,left
-6579.2,4014.162448,-13120,-1280,3571.2,59399372.8,-13452.8,3497.914715941485,-17088,-3968,2252.8,193213235.2,5798.4,5712.959919341287,-3392,15488,4346.88,66259353.6,0,1.5905697106486891,0,1.3496472603015073,0,2.07454672,left
-7187.2,4472.226398562578,-13120,-1280,4179.200000000001,71656652.8,-12537.6,4514.7407278823885,-17088,-3968,3427.8399999999992,177574297.6,4691.2,6285.24642,-3392,15488,5011.199999999999,61511680,0,1.560203649,0,1.4416008054827023,0,1.8851289362060888,left
-7763.2,4022.648202366198,-13120,-1280,3603.2,76448972.8,-11494.4,5127.530462123067,-17088,-3968,4515.84,158412800,3955.2,6557.036598952303,-3392,15488,5411.839999999999,58638336,0,1.6095888882206015,0,1.4986995601341764,1,2.0606141009250014,left
-8339.2,3420.385381795449,-13120,-3584,3027.2,81241292.8,-10451.2,5479.390564652241,-17088,-3968,5186.5599999999995,139251302.4,3219.2,6738.081578609745,-3392,15488,5518.079999999999,55764992,0,1.5260791611642783,0,1.675759183914364,1,2.045890402941588,left
-8588.8,3278.499559249627,-13120,-3584,2777.6,84516044.8,-9280,5179.098917765522,-16320,-3968,5030.4,112941465.6,1804.8,7400.724894,-7872,15488,5570.56,58028032,0,1.4625542507022842,0,1.3767785420914185,1,2.2459849667031597,left
-8422.4,3271.6709859030752,-13120,-3584,2734.0800000000004,81640652.8,-8505.6,5125.712812868079,-16320,-3968,4881.92,98618163.2,-531.2,6320.987467,-7872,15488,4559.360000000001,40237056,0,1.533865237259119,0,1.517064939071327,1,2.197200350456439,left
-8819.2,3599.1451429471417,-13440,-3584,3210.2400000000002,90732134.4,-7699.2,4968.234713,-16320,-3968,4442.879999999999,83961036.8,-2892.8,3806.230176959875,-8128,2048,3238.4,22855680,0,1.612681846383908,0,1.7280007476783956,0,1.8449587773292067,left
